Random waveform, supplied seed
Total number of intervals = 450 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056)
Average QPS expected = 58024
Timestamp start: 1778502315784
Timestamp end: 1778504116190

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      255.2   120.2    74.4   122.3   136.6   235.4   287.6   315.4   338.5   366.1   399.5   450.6   561.3   942.1  2920.4  74023.5    74055
read      258.0   108.1    74.4   127.2   141.8   248.6   294.0   319.3   339.0   361.4   388.5   427.9   506.1   640.8  3465.8  51205.5    51197
read      257.2   132.8    74.4   124.3   139.0   242.1   291.4   318.6   340.8   366.4   397.3   440.9   528.8   719.1  2531.1  59326.8    59442
read      261.2    97.6    80.4   136.5   153.5   256.3   293.1   314.5   331.1   350.5   374.1   410.2   483.0   620.2  1988.7  35586.0    35654
read      255.0   115.5    68.9   122.6   137.0   234.6   286.9   315.9   339.7   367.6   402.4   454.6   557.0   802.8  2455.6  78735.5    78747
read      262.8   100.2    80.4   132.8   149.1   255.3   295.6   320.1   339.7   361.7   388.2   427.0   505.4   692.4  2308.0  42127.8    42212
read      258.3   105.3    74.4   126.6   141.4   246.6   292.7   318.4   339.8   364.5   394.2   436.0   525.2   700.2  1887.0  52397.8    52488
read      258.9    93.0    74.4   135.5   152.0   253.9   290.9   311.8   327.9   347.2   371.4   405.6   476.4   628.8  2492.8  36904.0    36950
read      249.3    71.5    80.4   155.4   173.1   244.0   269.9   284.2   294.1   308.5   327.5   360.0   430.0   880.4  1954.5  16818.8    16762
read      252.6   111.2    74.4   121.7   136.1   232.7   285.2   313.7   336.9   364.6   398.6   450.2   551.4   739.0  1983.6  79263.2    79473
read      259.5   137.9    74.4   125.4   140.2   242.7   292.9   320.6   343.6   368.9   399.5   445.4   543.5   768.5  6081.0  61399.0    61431
read      256.5   131.4    74.4   123.0   137.5   233.3   286.0   315.6   340.2   369.3   404.9   460.8   592.0  1044.8  2161.4  87369.2    87172
read      259.0   126.5    74.4   123.8   138.8   234.7   286.7   316.3   340.7   370.0   409.1   469.1   615.5  1114.0  2482.8 108391.2   108181
read      252.6   125.4    68.9   120.4   134.4   232.1   284.0   312.3   335.1   362.8   397.8   453.2   563.9   848.3  3108.1  80457.8    80515
read      258.1   103.7    80.4   133.5   150.6   253.0   290.3   311.0   326.5   345.6   369.4   403.7   475.9   626.4  2727.4  37287.8    37149
read      243.4    82.2    86.8   156.5   172.8   237.5   261.9   274.2   284.8   295.8   315.1   344.4   410.2   902.1  2890.5  13460.5    13444
read      256.9   119.5    74.4   123.5   138.2   238.0   289.8   318.0   341.6   369.6   403.5   453.7   549.3   780.4  4032.3  71627.8    72057
read      257.1   111.8    74.4   124.8   139.4   238.5   290.0   319.0   343.1   370.4   402.1   451.1   547.5   768.0  1705.0  69780.2    70041
read      260.3   133.4    80.4   125.6   140.1   236.1   288.6   317.7   341.8   370.6   408.5   466.3   609.7  1342.3  4122.5  90310.5    90162
read      261.5   103.9    74.4   129.7   145.0   250.4   297.0   324.2   344.9   368.1   395.9   435.2   517.8   645.5  1708.8  52169.0    52082
read      257.6    93.3    80.4   147.3   165.4   253.1   282.7   298.4   313.1   330.1   351.3   383.9   453.4   798.8  3675.0  24252.2    24258
read      256.7   132.8    74.4   123.2   137.9   236.8   288.6   317.4   341.2   368.7   401.8   452.8   554.2   846.8  3817.4  71859.2    72013
read      256.6   103.7    74.4   124.7   139.6   242.8   292.2   319.2   341.1   365.3   395.0   438.2   527.1   678.1  1476.8  58207.8    58012
read      258.0   100.4    74.4   129.7   145.2   250.7   292.6   315.4   333.8   355.6   381.5   420.5   499.3   637.0  2844.4  45038.0    45398
read      259.5   113.9    74.4   128.4   143.4   249.2   295.0   319.4   340.3   363.3   391.2   431.8   508.0   647.4  3900.5  50264.8    50177
read      260.6   119.0    80.4   137.9   154.6   254.8   290.8   311.0   326.4   345.7   369.2   401.8   469.1   697.5  3974.5  34567.8    34504
