Linux 6.8.0-1021-gcp (memcache-server-w3cl) 	05/09/26 	_x86_64_	(4 CPU)

15:35:42      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:35:44      110      9619    0.00    0.00    0.00    0.00    0.00     0  memcached
15:35:46      110      9619    0.50    5.50    0.00    0.00    6.00     0  memcached
15:35:48      110      9619    0.00    2.50    0.00    0.00    2.50     0  memcached
15:35:50      110      9619    2.00   15.00    0.00    0.00   17.00     0  memcached
15:35:52      110      9619    0.50    4.50    0.00    0.00    5.00     0  memcached
15:35:54      110      9619    4.00   28.00    0.00    0.00   32.00     0  memcached
15:35:56      110      9619    0.50    5.50    0.00    0.00    6.00     0  memcached
15:35:58      110      9619    5.00   38.00    0.00    0.00   43.00     0  memcached
15:36:00      110      9619    1.50   11.00    0.00    0.00   12.50     0  memcached
15:36:02      110      9619    5.50   42.50    0.00    0.00   48.00     0  memcached
15:36:04      110      9619    2.50   23.00    0.00    0.00   25.50     0  memcached
15:36:06      110      9619    5.00   42.50    0.00    0.00   47.50     0  memcached
15:36:08      110      9619    4.00   42.00    0.00    0.00   46.00     0  memcached
15:36:10      110      9619    4.00   42.00    0.00    0.00   46.00     0  memcached
15:36:12      110      9619    6.50   58.00    0.00    0.00   64.50     0  memcached
15:36:14      110      9619    3.00   33.00    0.00    0.00   36.00     0  memcached
15:36:16      110      9619    7.00   72.00    0.00    0.00   79.00     0  memcached
Average:      110      9619    3.03   27.35    0.00    0.00   30.38     -  memcached
