Linux 6.8.0-1021-gcp (memcache-server-w3cl) 	05/09/26 	_x86_64_	(4 CPU)

15:36:47      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:36:49      110      9823    0.00    0.00    0.00    0.00    0.00     0  memcached
15:36:51      110      9823    0.50    5.00    0.00    0.00    5.50     0  memcached
15:36:53      110      9823    0.50    3.00    0.00    0.00    3.50     0  memcached
15:36:55      110      9823    1.50   15.00    0.00    0.00   16.50     0  memcached
15:36:57      110      9823    0.50    4.50    0.00    0.00    5.00     0  memcached
15:36:59      110      9823    4.00   27.50    0.00    0.00   31.50     1  memcached
15:37:01      110      9823    0.50    5.50    0.00    0.00    6.00     1  memcached
15:37:03      110      9823    5.00   40.50    0.00    0.00   45.50     1  memcached
15:37:05      110      9823    1.50   10.00    0.00    0.00   11.50     1  memcached
15:37:07      110      9823    5.50   43.00    0.00    0.00   48.50     1  memcached
15:37:09      110      9823    2.50   22.50    0.00    0.00   25.00     1  memcached
15:37:11      110      9823    5.50   44.00    0.00    0.00   49.50     0  memcached
15:37:13      110      9823    4.00   39.50    0.00    0.00   43.50     0  memcached
15:37:15      110      9823    4.50   41.50    0.00    0.00   46.00     1  memcached
15:37:17      110      9823    5.50   58.00    0.00    0.00   63.50     1  memcached
15:37:19      110      9823    3.00   34.00    0.00    0.00   37.00     1  memcached
15:37:21      110      9823    6.50   71.50    0.00    0.00   78.00     1  memcached
Average:      110      9823    3.00   27.35    0.00    0.00   30.35     -  memcached
