#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      228.9    87.4    74.4   140.0   153.1   217.4   247.1   264.4   276.6   293.4   316.1   352.2   431.2   822.2  2945.2  30001.0    30000  1778860420933  1778860431019
read      223.7    82.9    74.4   134.7   146.8   209.7   242.1   261.9   275.7   294.6   318.1   354.3   428.8   696.9  2451.8  29999.6    30005  1778860432532  1778860442603
read      222.2    97.9    80.4   134.1   146.3   208.6   240.4   259.6   273.3   291.3   314.0   346.4   418.5   723.5  4153.1  29998.2    30010  1778860444116  1778860454172
read      220.7    83.4    80.4   132.3   145.0   208.4   239.6   258.4   272.1   289.6   311.6   343.8   412.1   608.6  2991.9  30008.0    30015  1778860455686  1778860465743
read      228.5    88.7    80.4   134.7   147.9   215.2   248.7   268.7   284.0   302.5   325.4   360.3   431.6   761.2  2888.5  30113.3    30020  1778860467255  1778860477310
read      223.4    83.0    74.4   133.2   146.1   210.4   242.1   261.7   275.5   294.3   317.3   351.7   421.4   636.7  2713.9  30065.4    30025  1778860478823  1778860488879
read      227.2    85.7    80.4   134.5   147.2   213.6   247.3   267.7   283.2   302.2   325.8   361.2   431.3   617.8  2812.6  30064.3    30030  1778860490392  1778860500448
read      227.4    89.5    80.4   132.7   146.3   213.8   246.7   266.6   281.5   300.2   324.4   362.1   438.5   756.7  3084.0  29950.7    30035  1778860501961  1778860512016
read      224.6    82.7    74.4   137.9   150.9   214.4   242.5   258.9   270.6   286.0   307.4   342.9   428.9   677.1  2967.4  29914.7    30040  1778860513532  1778860523588
read      224.4   102.1    80.4   138.5   151.3   213.1   240.2   255.8   267.7   282.1   302.5   338.9   431.2  1310.8  4022.7  30109.1    30045  1778860525101  1778860535157
read      224.6   145.0    80.4   137.1   149.5   208.7   234.6   250.6   262.6   276.2   298.4   339.4   461.5  2155.7  5427.3  30092.2    30050  1778860536670  1778860546728
read      218.0    80.2    80.4   135.1   148.0   208.9   235.4   251.0   262.6   275.2   294.7   328.0   406.0   688.6  3008.0  29983.2    30055  1778860548241  1778860558297
read      216.3    78.3    74.4   132.1   145.1   206.9   233.6   249.4   261.1   274.5   294.9   330.1   414.7   690.4  2562.8  30048.1    30060  1778860559812  1778860569868
read      217.8    86.8    80.4   137.9   150.1   208.2   233.3   248.0   258.7   271.7   290.8   322.3   403.3   916.5  3306.7  30117.8    30065  1778860571382  1778860581438
read      220.3    85.6    74.4   138.9   151.3   210.6   236.7   252.3   263.8   276.5   296.0   328.6   403.4   768.8  3018.4  30037.6    30070  1778860582950  1778860593006
read      224.9    93.8    74.4   139.0   151.9   213.4   241.2   257.6   269.7   285.0   306.0   340.6   425.0  1135.5  3222.3  29985.4    30075  1778860594519  1778860604576
read      223.7    91.2    74.4   138.9   152.1   213.5   239.9   255.3   267.4   281.7   302.0   337.0   420.1   905.3  3160.6  30093.9    30080  1778860606090  1778860616148
read      220.5    91.5    74.4   131.7   144.9   210.0   239.1   255.7   268.5   284.1   305.9   342.2   425.8   622.7  2992.1  30013.6    30085  1778860617663  1778860627720
read      219.6    81.0    68.9   132.8   145.8   210.1   238.3   254.8   267.3   281.9   302.0   336.0   415.7   581.3  2586.1  30109.6    30090  1778860629234  1778860639293
