#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      230.4   100.1    93.8   147.4   159.5   219.8   248.0   264.6   276.1   291.5   310.9   340.7   411.9   632.5  3338.3  29948.0    30000  1778358740274  1778358750424
read      234.7    91.6    93.8   149.0   160.0   221.2   252.5   271.4   285.8   302.3   322.6   355.5   431.8   944.3  3687.8  30059.5    30005  1778358751938  1778358762074
read      226.0    98.2    93.8   141.7   152.0   211.8   243.7   263.1   277.2   294.3   315.5   346.0   414.4   925.9  3769.9  30001.7    30010  1778358763587  1778358773687
read      226.6    94.3    93.8   142.6   152.9   213.2   245.2   264.1   277.4   293.9   314.2   344.2   410.4   843.9  3676.6  30006.8    30015  1778358775201  1778358785300
read      237.2   111.1    93.8   146.4   157.7   222.4   256.4   276.1   291.2   308.6   330.3   364.4   441.9  1001.2  5102.5  30070.0    30020  1778358786812  1778358796913
read      226.0    92.8    93.8   141.8   151.9   211.2   243.9   264.1   278.8   296.3   318.2   349.5   411.5   715.5  3372.1  29965.3    30025  1778358798424  1778358808526
read      229.7   104.3    86.8   141.3   151.9   214.9   249.2   269.8   285.2   302.8   323.8   356.8   425.1   714.2  5089.9  30029.3    30030  1778358810038  1778358820138
read      231.8    99.8    93.8   144.3   155.1   217.8   250.5   270.0   284.4   300.7   320.5   356.2   431.9   817.1  3802.2  30040.4    30035  1778358821651  1778358831752
read      228.2    92.5    93.8   145.1   156.0   215.8   245.7   263.6   276.1   292.3   312.2   341.7   411.9   912.4  3143.5  30110.7    30040  1778358833264  1778358843366
read      227.0    90.3   101.3   149.0   160.5   217.3   243.5   258.6   269.9   283.4   300.2   326.8   395.8   949.0  3315.8  30059.9    30045  1778358844878  1778358854980
read      228.1   154.0    93.8   148.8   159.4   212.9   236.5   251.0   261.6   273.5   291.0   318.0   419.6  2536.4  5702.0  30128.0    30050  1778358856492  1778358866600
read      218.6    87.6    93.8   145.3   155.7   209.0   233.6   248.2   258.7   271.2   288.3   314.7   382.6   804.5  4115.7  29917.2    30055  1778358868113  1778358878215
read      222.8    80.7    93.8   145.7   156.9   212.6   238.5   254.1   266.2   279.9   298.1   329.1   400.6   586.7  3104.7  30052.4    30060  1778358879727  1778358889826
read      225.9    78.3    86.8   145.5   157.6   215.9   243.1   259.0   270.7   285.3   303.9   334.4   413.8   590.9  2735.6  30038.0    30065  1778358891338  1778358901436
read      226.3    85.6    93.8   151.0   162.3   217.3   242.7   257.4   268.5   281.3   296.8   322.0   381.9   606.3  3624.5  30083.5    30070  1778358902948  1778358913047
read      219.1    81.4    93.8   150.0   160.4   210.9   233.8   247.9   257.8   270.0   285.7   309.4   363.1   572.6  3868.7  30036.6    30075  1778358914560  1778358924665
read      218.5    77.5    93.8   149.1   159.5   211.2   233.8   247.4   256.9   269.0   284.6   309.0   362.6   539.4  2990.8  30052.4    30080  1778358926177  1778358936278
read      256.1   106.0    93.8   157.8   171.5   241.1   273.3   292.7   307.7   325.5   351.2   395.7   509.3  1138.5  3870.1  30014.3    30085  1778358937790  1778358947893
read      262.0    94.9   101.3   163.1   177.2   248.2   281.2   300.6   315.4   334.1   359.8   401.8   501.7   948.6  3274.3  30046.2    30090  1778358949405  1778358959505
read      284.6   122.3   101.3   172.1   188.9   269.3   304.0   323.6   340.2   361.5   391.1   438.7   564.5  1436.8  3931.6  30177.7    30095  1778358961017  1778358971117
read      289.2   118.3   101.3   169.8   188.5   275.0   311.7   332.7   347.7   369.3   399.2   450.8   583.3  1029.1  4159.3  30075.7    30100  1778358972631  1778358982730
read      293.0   135.7    93.8   160.5   178.3   269.9   311.3   336.4   357.2   386.4   429.7   508.0   690.3  1095.1  3811.3  30042.0    30105  1778358984242  1778358994345
read      276.0   114.7    93.8   158.7   175.5   259.6   296.1   317.8   334.9   356.6   390.2   450.1   592.0   902.9  3325.4  30116.4    30110  1778358995857  1778359005957
read      239.8    93.1    86.8   148.8   161.5   226.7   257.0   274.6   288.8   305.6   328.2   371.0   480.9   757.2  3071.6  30037.7    30115  1778359007469  1778359017569
read      229.3    89.6    93.8   143.6   156.2   218.8   247.9   264.8   276.7   292.0   311.7   341.8   420.5   732.4  3359.5  30045.5    30120  1778359019082  1778359029185
read      232.2    87.5    93.8   147.2   159.6   222.9   251.5   268.1   280.1   294.6   313.7   342.6   418.0   626.9  2446.1  30148.2    30125  1778359030698  1778359040796
