#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      226.4    81.7    93.8   144.9   156.8   217.7   244.7   260.0   271.0   285.1   303.1   332.8   404.3   587.6  3591.4  29919.2    30000  1778358410161  1778358420304
read      237.1   109.8    93.8   146.7   158.5   224.2   256.2   274.5   288.8   305.1   325.7   360.0   435.9  1033.0  3872.4  29945.8    30005  1778358421819  1778358431940
read      234.1   117.0    93.8   144.2   155.2   220.1   254.2   274.0   289.1   306.4   327.7   359.8   426.8   722.2  5438.5  29983.3    30010  1778358433453  1778358443553
read      256.7   216.6    93.8   143.7   154.2   217.3   253.3   275.7   293.9   315.5   344.4   408.0  1005.2  3132.6  4613.0  30060.0    30015  1778358445067  1778358455169
read      306.6   346.9   101.3   145.2   155.9   222.5   264.5   293.3   317.2   349.3   417.0   723.1  2331.6  3324.9  4749.6  29983.6    30020  1778358456682  1778358466802
read      301.2   338.6    86.8   139.2   150.6   222.0   267.8   299.3   325.2   361.7   443.1   707.9  2048.5  4353.6  6564.5  29999.4    30025  1778358468317  1778358478531
read      230.0   152.4    86.8   138.6   149.1   209.2   242.9   262.9   276.9   295.2   318.9   357.4   529.8  2151.1  6266.2  30072.7    30030  1778358480049  1778358490273
read      232.0    97.5    93.8   143.2   154.2   217.8   252.3   272.2   287.2   304.3   325.4   358.4   426.2   677.9  3469.6  30063.0    30035  1778358491788  1778358501926
read      233.8    92.6    93.8   146.0   157.6   221.3   252.7   270.9   284.6   300.4   320.8   353.7   430.5   898.8  3373.8  30070.3    30040  1778358503438  1778358513541
read      228.4    91.5    93.8   146.0   158.2   218.0   245.6   261.6   272.9   287.9   307.1   338.1   417.9   736.0  3645.5  30011.1    30045  1778358515056  1778358525168
read      225.8   145.5    86.8   146.6   157.1   211.0   235.4   249.9   260.3   272.2   289.1   316.1   412.3  2367.8  5093.5  29967.3    30050  1778358526680  1778358536785
read      221.2    92.2    93.8   146.8   157.4   211.8   236.2   250.8   261.4   273.1   290.1   316.5   388.7   911.4  3490.4  30009.9    30055  1778358538298  1778358548400
read      224.3    82.2    86.8   142.4   154.8   214.3   241.5   257.4   269.3   283.7   302.8   334.5   405.7   641.9  3077.3  30116.3    30060  1778358549914  1778358560019
read      228.3    89.5    86.8   144.2   156.4   218.0   245.9   262.3   273.8   289.0   308.5   339.4   416.9   826.7  3559.2  30019.1    30065  1778358561534  1778358571637
read      224.4    96.6    93.8   149.7   161.1   216.0   240.3   254.1   264.8   276.0   292.7   317.2   375.3   705.4  4070.7  30021.1    30070  1778358573149  1778358583249
read      223.8    85.1    93.8   148.3   159.8   215.8   240.7   254.7   265.6   277.0   293.4   318.1   374.7   622.2  3580.0  30083.3    30075  1778358584762  1778358594862
read      222.3    85.9    93.8   152.3   163.0   214.2   236.7   250.3   259.9   271.1   286.5   310.6   369.7   687.5  3765.8  30149.8    30080  1778358596373  1778358606478
read      228.9    85.6    93.8   149.0   160.8   219.1   245.9   261.5   272.6   287.1   305.6   335.9   409.7   681.2  3281.5  30045.9    30085  1778358607990  1778358618094
read      231.7    94.1    93.8   150.3   162.5   221.9   249.0   264.9   275.7   290.4   308.9   337.7   406.1   684.2  3843.3  30082.6    30090  1778358619607  1778358629706
read      227.4    88.7    93.8   146.7   158.6   218.0   244.6   260.0   271.1   285.4   303.7   334.0   403.5   613.9  3839.3  30157.7    30095  1778358631217  1778358641318
read      231.4    85.6    93.8   146.2   158.4   221.0   250.1   267.2   279.7   294.9   315.2   345.5   420.2   592.8  3145.1  30091.0    30100  1778358642830  1778358652929
read      236.1    87.9    93.8   147.0   160.3   225.9   255.4   272.8   286.1   301.2   320.4   353.1   432.2   624.8  3071.5  30053.1    30105  1778358654442  1778358664548
read      234.2    94.4    93.8   146.2   158.8   223.5   252.4   269.4   281.8   296.3   316.7   350.2   442.7   672.2  3810.1  30139.5    30110  1778358666060  1778358676162
read      238.0    83.9    93.8   150.1   162.9   227.6   257.4   274.5   287.9   303.0   321.9   355.2   429.1   617.5  3171.6  30034.3    30115  1778358677673  1778358687777
read      233.5   133.9    86.8   140.7   154.0   221.9   253.3   271.5   285.3   301.1   320.8   355.2   434.0   695.5  3964.6  30192.4    30120  1778358689288  1778358699391
