Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778716235435
Timestamp end: 1778717435733

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      280.4   183.6    80.4   133.5   149.3   249.6   305.3   336.3   358.5   384.2   418.7   483.0   816.4  2293.8  5502.3 108177.4   108181
read      258.0   119.1    74.4   126.8   140.2   234.8   295.3   325.8   346.3   369.1   397.2   441.8   588.7   985.3  2950.9  80571.7    80515
read      258.8    93.8    80.4   133.1   147.7   257.7   299.1   318.2   332.2   346.8   367.5   399.1   473.5   657.3  2439.5  37086.9    37149
read      239.1   119.0    86.8   145.4   161.0   227.5   257.8   273.5   285.3   297.6   317.0   347.1   433.6  1296.0  4971.9  13493.7    13444
read      261.6   137.0    80.4   127.0   140.3   239.2   300.7   330.1   349.7   371.5   399.0   444.2   590.1  1317.4  3795.0  71955.7    72057
read      259.0   113.8    74.4   127.4   140.6   239.1   300.7   329.7   349.0   370.3   396.8   436.5   553.5   892.2  2580.3  70054.7    70041
read      261.9   134.9    74.4   127.5   141.2   235.1   294.1   324.8   346.2   370.5   400.8   453.0   665.2  1325.9  3287.4  90257.8    90162
read      261.6   121.6    74.4   129.5   143.0   253.0   305.7   329.7   345.5   364.2   387.1   423.0   513.5   769.8  3553.5  52053.3    52082
read      247.8    87.6    80.4   138.9   154.2   245.0   278.7   294.2   305.8   318.4   336.7   364.8   430.0   602.7  3202.0  24256.1    24258
read      257.7   113.3    74.4   126.7   139.9   237.2   298.9   328.0   347.2   368.8   395.3   435.3   553.6   859.4  2759.6  71927.8    72013
read      258.1   109.3    80.4   127.2   140.3   245.4   302.8   328.5   345.4   364.9   388.7   425.5   518.9   739.6  2798.2  58025.8    58012
read      260.9   105.2    80.4   131.1   145.0   256.5   303.8   325.2   340.2   357.5   378.2   412.8   501.1   761.2  2849.0  45365.3    45398
read      260.5   112.2    74.4   128.9   142.5   252.9   304.2   327.4   342.8   361.0   383.1   419.6   515.2   868.4  3048.0  50304.5    50177
read      256.6    92.7    80.4   134.7   149.3   255.6   294.1   312.6   325.2   340.4   360.4   391.9   469.6   690.8  2615.5  34525.8    34504
read      260.3   142.0    80.4   126.5   139.8   241.8   302.0   329.9   348.2   369.0   394.9   434.2   549.7   999.6  5077.1  66037.2    66010
read      259.1   119.2    74.4   126.8   140.1   237.7   298.4   328.1   347.8   369.7   396.8   439.4   581.0  1039.2  2687.2  73963.8    73937
read      261.9   110.5    74.4   128.7   142.2   251.6   306.0   331.0   347.4   366.3   390.0   427.5   537.4   851.6  2913.4  54971.8    55020
read      261.0   111.3    80.4   130.3   143.8   252.4   305.0   328.6   344.6   363.3   386.2   422.5   518.6   732.3  2230.4  53217.2    53235
read      264.0   138.0    74.4   128.8   143.2   237.1   294.1   324.7   346.3   370.8   401.4   454.7   688.8  1470.3  3036.8  97827.9    97743
read      207.3   131.4    86.8   142.6   152.2   194.5   213.2   224.3   232.4   244.7   262.4   290.3   388.6  1179.3  7204.8   5437.9     5419
read      244.2   122.7    86.8   143.2   159.4   231.9   264.8   281.8   293.6   308.6   327.7   361.8   464.9  1315.7  6159.4  14840.6    14764
read      217.8   104.8    86.8   144.9   156.2   205.7   226.9   239.6   251.2   265.2   282.9   312.6   412.0  1201.9  3389.5   7449.7     7451
read      260.5   107.4    74.4   129.5   143.3   253.5   303.7   326.4   341.7   359.8   382.0   418.5   511.4   842.8  2832.3  48173.5    48208
read      246.0    95.1    80.4   143.5   160.3   235.0   268.5   285.5   296.7   312.2   332.2   366.4   466.0  1096.0  2784.8  16170.9    16149
read      261.3   134.1    80.4   127.2   140.7   237.0   297.9   328.3   348.9   371.5   399.7   446.5   607.0  1181.2  4019.9  79032.1    78989
read      243.7    96.0    86.8   138.8   154.2   233.9   268.4   286.1   297.7   313.0   332.8   365.3   451.2  1074.5  3062.7  18882.2    18886
read      261.3   131.0    74.4   126.9   140.3   238.0   299.8   329.6   349.7   372.0   400.1   447.7   601.6  1094.0  3313.8  76105.5    75954
read      261.6   116.2    80.4   130.8   144.7   256.7   303.8   325.3   340.4   357.8   378.3   413.1   504.1   943.3  3244.2  44418.1    44409
read      248.4   188.0    86.8   140.0   156.2   230.8   263.8   280.7   292.4   307.4   327.0   363.3   538.6  2393.5  8203.2  16404.5    16431
read      261.7   135.6    74.4   127.0   140.7   236.0   296.4   327.3   348.5   372.4   402.4   453.9   623.5  1254.7  3764.8  85702.8    85707
read      257.5   108.6    80.4   126.5   139.7   244.4   302.4   328.0   345.0   364.6   388.6   425.5   517.3   766.1  2717.4  58265.9    58253
read      265.0   137.8    74.4   129.7   144.3   238.2   294.1   324.5   346.1   370.9   401.6   455.7   692.6  1547.5  2864.1 103798.4   103867
read      243.2    82.8    80.4   139.6   155.3   238.3   270.8   286.5   296.6   310.5   327.3   356.2   427.6   710.5  2401.1  21732.8    21604
read      257.2   135.1    74.4   126.1   139.7   231.4   290.0   320.5   342.0   366.0   395.1   440.8   613.3  1374.8  3632.7  90460.1    90401
read      249.5   110.0    74.4   123.1   136.7   228.2   287.1   317.1   337.5   360.2   387.3   427.8   531.4   766.7  2346.3  84557.6    84467
read      252.4   108.1    74.4   127.6   141.3   231.5   286.7   316.4   337.1   360.2   388.0   429.7   535.9   839.4  2034.0  99824.5    99700
read      247.9    92.1    80.4   131.8   146.4   245.4   282.9   299.8   312.0   325.7   344.2   373.6   448.0   641.4  2880.9  32006.3    32052
read      240.7    89.1    86.8   139.2   155.3   234.1   266.3   282.3   293.2   306.9   323.1   352.8   425.7   757.2  2840.0  18135.4    18173
read      249.5   104.1    74.4   122.9   136.0   232.6   292.8   319.7   337.8   357.8   381.4   417.5   501.3   686.9  2038.7  67859.5    67789
read      251.8   100.7    74.4   126.3   139.6   244.6   296.2   317.8   333.0   349.4   370.3   401.7   471.3   624.5  2173.8  52015.5    51929
read      250.8   114.2    80.4   124.1   137.8   229.9   288.6   318.0   338.0   360.0   386.4   426.4   531.1   857.8  3590.2  83874.4    83850
