Random waveform, supplied seed
Total number of intervals = 600 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056, 94134, 37808, 53481, 25666, 108853, 41576, 70282, 45769, 92383, 12100, 67747, 68933, 63242, 72993, 51022, 67069, 24895, 68588, 42706, 49479, 64792, 73879, 31893, 74262, 57246, 91617, 55173, 108633, 15720, 99961, 102613, 57169, 56950, 49938, 5383, 39719, 36653, 69482, 46749, 65109, 46501, 109480, 69433, 58157, 70737, 34617, 77563, 90036, 36689, 46832, 104903, 14153, 21674, 5689, 37781, 15507, 102064, 71340, 79815, 44352, 109562, 86219, 47335, 41962, 45802, 13389, 95780, 87844, 55903, 100902, 70988, 53831, 26948, 32347, 41050, 56197, 94617, 71839, 79082, 107630, 60164, 97878, 63680, 73888, 65499, 96906, 103287, 49664, 32535, 46477, 7459, 74137, 57061, 34213, 7432, 41605, 32998, 61636, 64695, 14063, 91302, 6064, 41354, 19863, 19488, 14040, 19538, 20199, 106657, 92457, 92780, 68203, 81753, 57748, 21027, 49680, 82042, 93691, 45291, 30437, 67422, 69956, 35404, 80225, 105585, 20088, 12672, 15696, 25951, 65007, 10189, 78008, 12678, 15922, 41774, 38788, 34559, 54825, 42697, 12669, 70047, 96137, 92934, 20597, 66597, 59987, 58456, 59958, 98221, 55912)
Average QPS expected = 57644
Timestamp start: 1778509976428
Timestamp end: 1778511776881

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      244.3   158.4    93.8   158.8   173.0   230.2   252.5   266.2   275.2   289.8   310.1   344.6   474.0  2413.9  7725.3   6864.3     6927
read      325.7   223.6    80.4   130.9   146.0   277.1   364.9   414.0   449.6   491.9   546.0   636.5   875.3  2709.1  6773.4  52639.3    52892
read      296.9   277.3    74.4   128.2   142.6   238.0   293.6   332.1   361.0   397.3   454.7   624.5  1321.4  3376.9  7635.6  99084.7    98921
read      253.9    99.2    74.4   127.0   140.7   239.3   289.2   320.4   342.4   364.9   391.1   428.3   503.6   660.3  1073.5  61039.0    61129
read      258.4   110.2    80.4   135.7   150.9   252.2   291.0   314.1   331.4   350.5   372.3   404.3   470.3   715.3  2872.5  40567.7    40613
read      257.2   101.3    80.4   129.8   143.9   245.7   292.6   321.4   342.1   363.7   388.8   424.4   498.1   685.2  1925.2  53201.3    53226
read      255.8    86.9    80.4   136.3   151.4   251.0   288.1   310.2   326.8   345.3   367.6   399.7   463.7   608.2  1367.7  38467.3    38560
read      257.6   121.7    74.4   128.1   142.2   233.6   284.1   316.5   341.4   369.1   402.4   453.2   570.2  1299.1  2493.2 103211.3   103465
read      255.3   123.8    74.4   127.5   141.4   232.3   281.3   312.9   336.8   364.1   397.9   447.8   562.2  1443.1  2820.5 104758.3   104758
read      250.6   106.3    80.4   125.2   139.2   228.6   278.5   310.6   335.6   363.8   396.8   443.7   540.2   780.7  1880.3  94951.3    94759
read      256.0    91.0    74.4   136.5   151.9   251.1   287.8   309.7   326.2   344.3   366.3   398.5   467.0   639.4  1868.4  37925.3    37799
read      224.6    72.5   101.3   155.2   167.8   219.7   237.9   248.9   256.1   266.4   278.1   300.8   372.7   943.0  3818.7   8387.0     8296
read      251.1   104.7    74.4   124.7   138.8   232.9   283.2   314.9   338.6   363.1   391.8   432.3   516.8   668.8  2001.1  69032.0    69443
read      233.5   131.1    93.8   153.5   168.7   227.1   247.8   259.7   268.5   278.5   292.8   317.7   387.7   960.7  7803.3  12618.0    12517
read      257.3    93.6    80.4   134.5   149.1   250.5   290.7   315.3   333.6   353.6   376.0   409.0   474.3   613.0  2199.7  43336.0    43591
read      243.8    65.0    86.8   148.9   165.3   240.9   265.6   278.5   289.1   301.6   320.5   351.3   413.0   546.6  1376.7  20617.3    20430
read      251.2   117.1    74.4   124.4   138.3   227.7   277.3   309.3   334.5   362.6   396.1   445.7   556.9  1088.2  2931.5  93686.0    93758
read      226.8    72.8    86.8   153.8   168.2   222.3   241.0   251.7   259.9   269.5   282.8   306.7   376.0   917.1  3093.4  10529.7    10485
read      240.6    74.6    93.8   153.0   169.6   236.2   259.6   271.7   281.0   292.0   308.9   338.3   399.9   901.0  2953.0  16323.0    16518
read      253.2   117.7    80.4   125.4   139.0   230.9   282.4   315.5   341.0   368.2   400.1   444.1   538.1   851.0  3166.7  83078.0    83230
read      221.6    82.6   101.3   154.8   166.7   214.8   232.4   242.9   250.5   260.2   272.9   295.0   378.5   972.4  3905.3   5515.3     5484
read      256.5    99.6    74.4   129.6   143.7   243.5   291.1   321.3   342.8   365.0   390.9   427.3   500.9   638.3  1937.9  55519.7    55611
read      245.1    77.6    86.8   148.9   165.2   241.8   267.1   280.9   291.2   304.7   323.5   353.0   411.7   583.6  3172.7  20828.3    20774
read      248.9   113.2    80.4   124.0   137.9   226.1   275.2   307.0   331.9   360.3   393.7   441.0   544.9   880.7  2078.3  96607.7    96726
read      256.1    98.8    86.8   140.3   156.2   251.8   284.6   303.3   318.3   336.8   358.3   388.6   458.5   713.8  3795.2  32496.3    32442
read      254.4   126.0    74.4   124.7   138.5   232.8   284.5   317.8   341.9   367.8   398.2   440.5   538.1  1224.7  3562.2  72948.3    73039
read      252.9   116.2    80.4   124.7   138.5   232.4   284.2   317.3   341.6   367.6   397.4   437.5   531.7   792.3  4363.3  74030.7    74055
read      259.3    96.6    80.4   131.9   146.5   248.4   294.3   322.9   343.0   364.6   390.3   426.6   503.1   655.1  1485.1  51087.3    51197
read      256.1   115.2    80.4   128.0   141.8   240.4   289.7   319.5   341.8   365.6   393.4   431.3   513.4   752.2  2740.2  59672.0    59442
read      256.8    85.5    80.4   139.2   154.5   252.9   288.3   309.3   325.2   343.2   364.6   394.8   456.5   568.2  2424.9  35577.0    35654
read      253.9   112.1    74.4   125.5   139.1   232.3   283.9   317.0   342.3   368.9   399.9   445.5   541.8   886.9  2570.8  78870.3    78747
read      258.9    89.1    80.4   135.9   151.0   252.8   291.9   316.5   335.0   354.8   376.1   408.1   473.8   625.6  1548.5  41903.0    42212
read      257.2    96.0    74.4   130.8   145.0   246.4   292.8   321.5   341.9   363.1   388.0   423.9   493.1   594.9  1037.8  52800.0    52488
read      257.0    95.0    80.4   138.0   153.5   252.1   287.7   309.2   325.7   344.4   367.1   398.9   463.5   593.2  3228.4  36824.0    36950
read      245.2   115.1    86.8   153.2   169.9   239.6   263.3   275.2   285.8   296.4   315.4   343.1   404.3  1232.0  6703.4  16875.7    16762
