#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      281.4   104.7    93.8   163.8   180.5   267.2   308.8   332.8   350.0   371.0   397.6   437.8   532.9   793.9  3292.6  29897.0    30000  1778615659665  1778615669812
read      285.8   123.1    93.8   159.9   175.4   265.8   313.4   340.9   361.4   385.5   416.5   464.8   585.4  1319.3  3861.2  29950.5    30005  1778615671325  1778615681449
read      272.0   125.9    93.8   154.3   168.0   249.6   296.1   325.0   346.1   370.8   400.1   445.0   551.3  1182.8  4374.6  30047.1    30010  1778615682961  1778615693060
read      290.3   149.2    93.8   157.4   172.6   265.1   316.7   347.6   370.2   396.1   428.9   480.4   643.2  1856.1  5263.5  30033.6    30015  1778615694573  1778615704712
read      318.1   311.9   101.3   152.4   165.4   252.4   309.4   345.2   372.6   407.9   466.2   620.1  1812.2  4083.8  7545.2  29866.9    30020  1778615706228  1778615716464
read      357.4   376.2    93.8   154.5   169.1   266.6   331.2   372.7   406.7   458.1   549.6   764.9  2324.0  3840.3  8060.6  30042.7    30025  1778615717982  1778615728283
read      331.3   336.2    93.8   153.2   167.5   258.6   314.4   350.3   377.7   414.7   479.5   673.4  2100.2  4225.2  7309.4  30064.4    30030  1778615729799  1778615739899
read      257.8   121.4    93.8   150.8   163.2   236.1   279.3   307.0   326.8   349.6   377.1   418.8   507.7  1014.2  4102.5  29956.7    30035  1778615741412  1778615751511
read      275.6   126.3   101.3   156.5   170.7   254.9   300.9   328.9   348.9   372.5   401.8   448.0   559.7  1105.7  3769.4  30026.0    30040  1778615753024  1778615763123
read      275.4   119.3    93.8   158.8   174.3   259.4   301.4   325.4   342.9   364.0   390.6   431.6   534.2  1336.6  4051.3  29942.4    30045  1778615764636  1778615774738
read      259.6   144.1   101.3   153.9   167.0   239.7   276.7   298.3   315.0   335.1   361.5   402.6   514.4  2219.5  5090.6  30026.5    30050  1778615776251  1778615786356
read      264.9   147.0   101.3   156.1   169.6   244.3   282.4   304.5   320.5   341.0   368.0   413.2   561.7  2185.3  4890.8  30034.2    30055  1778615787869  1778615797969
read      269.0   107.7    93.8   158.9   173.6   253.8   293.8   316.9   334.2   354.5   380.5   421.7   510.4   810.9  3767.9  30051.6    30060  1778615799481  1778615809581
read      270.1   123.7   101.3   159.3   174.1   254.4   294.0   317.3   334.8   355.3   381.5   422.3   513.8  1088.8  4314.3  30057.3    30065  1778615811093  1778615821195
read      271.6   105.4    93.8   158.1   173.5   256.1   296.5   320.0   337.9   359.0   386.2   429.0   532.9  1088.6  2830.6  30121.5    30070  1778615822708  1778615832810
read      257.7   109.2    93.8   155.1   168.2   241.9   279.2   300.6   316.6   336.3   361.9   401.2   498.5  1088.5  3733.7  30039.7    30075  1778615834323  1778615844425
read      251.9   101.9   101.3   154.0   166.9   237.4   273.0   293.4   308.7   326.3   349.8   388.1   475.6   842.7  3383.3  30077.5    30080  1778615845937  1778615856037
read      273.4   131.5    93.8   160.1   175.2   257.9   297.8   320.9   338.4   359.0   385.5   426.4   520.3  1174.9  5125.8  30101.8    30085  1778615857549  1778615867651
read      271.7   107.7   101.3   162.9   177.0   256.3   295.0   318.1   335.7   356.4   383.1   424.8   518.5   857.5  3872.6  29939.9    30090  1778615869164  1778615879264
read      284.5   109.8    93.8   166.5   183.7   271.0   311.8   335.4   352.5   372.4   398.5   437.8   532.2   805.4  3762.4  30081.8    30095  1778615880778  1778615890880
read      280.9   125.1    93.8   163.5   179.6   267.0   307.9   331.3   348.1   369.0   395.1   434.1   525.4   984.7  4004.1  30134.3    30100  1778615892394  1778615902494
read      277.6   110.1    93.8   159.3   176.4   264.2   305.7   329.4   346.2   367.6   393.6   432.0   517.2   737.5  3567.7  30173.6    30105  1778615904006  1778615914105
