#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      401.3   384.3   101.3   169.7   189.5   297.3   361.5   411.0   459.7   538.8   684.8   973.2  2033.5  4140.2  7697.8  30052.0    30000  1778589823054  1778589833230
read      336.0   272.1   101.3   164.7   180.2   270.3   320.3   355.0   385.0   429.5   515.8   733.2  1511.5  3116.3  6391.4  30019.1    30005  1778589834753  1778589844883
read      288.1   172.2   101.3   158.3   172.3   253.5   298.0   325.6   346.2   373.7   417.4   506.3   872.2  2095.4  5078.4  30066.8    30010  1778589846401  1778589856515
read      295.1   178.2   101.3   157.7   171.9   256.5   304.8   335.3   360.1   392.8   440.9   538.1   904.4  2078.7  4640.3  30022.1    30015  1778589858032  1778589868153
read      701.4   714.0   109.4   207.2   236.9   438.6   600.7   778.2   969.2  1242.4  1549.5  1967.0  3681.5  6323.2  8044.8  29913.2    30020  1778589869672  1778589879777
read      495.2   406.1   109.4   184.5   207.9   364.8   482.4   578.0   664.1   784.3   952.6  1233.3  1943.4  4752.5  6445.3  30070.6    30025  1778589881292  1778589891394
read      444.4   355.6   101.3   177.3   196.9   332.4   429.4   509.6   584.5   686.0   837.1  1093.0  1717.0  3717.2  6867.5  30069.3    30030  1778589892910  1778589903013
read      504.2   469.4   101.3   177.6   198.9   355.4   478.6   578.3   666.2   789.5   968.0  1283.3  2342.5  5027.1  8310.8  29990.5    30035  1778589904530  1778589914633
read      465.8   369.9   101.3   177.0   198.2   344.8   457.6   551.2   633.5   742.1   892.7  1136.6  1811.2  3613.9  6597.8  29942.2    30040  1778589916149  1778589926250
read      460.4   346.0   101.3   180.6   202.9   353.0   458.6   540.8   612.8   712.5   859.5  1106.2  1684.0  3480.0  6229.2  29962.1    30045  1778589927766  1778589937866
read      514.6   442.4   101.3   180.3   203.2   372.5   500.5   603.6   699.6   829.5  1013.7  1317.2  2073.6  4945.7  8014.6  30065.0    30050  1778589939381  1778589949486
read      349.6   258.4   101.3   176.8   194.7   288.7   337.6   371.0   400.7   445.1   526.4   733.2  1444.8  2794.2  5735.3  30020.6    30055  1778589951004  1778589961107
read      365.6   333.9   109.4   173.2   190.7   285.0   336.1   372.2   405.6   459.8   561.2   821.9  1809.0  4010.4  7146.1  30086.4    30060  1778589962624  1778589972729
read      312.1   241.6   101.3   163.0   177.1   256.7   300.0   329.6   355.1   393.4   463.1   638.6  1287.5  2785.1  5899.6  29995.2    30065  1778589974246  1778589984349
read      316.0   218.0   109.4   168.7   183.8   265.1   307.7   336.3   360.9   396.7   462.8   636.5  1225.7  2521.9  4323.9  30028.0    30070  1778589985865  1778589995967
read      291.2   178.5   101.3   166.5   181.6   259.4   298.2   321.9   341.5   367.1   405.4   491.0   863.6  2178.2  5619.1  30100.8    30075  1778589997482  1778590007583
read      291.8   170.7   101.3   171.2   187.9   271.3   310.0   332.5   348.8   370.7   400.9   457.3   685.9  1681.6  4232.5  30049.3    30080  1778590009103  1778590019215
read      292.0   179.6   101.3   169.2   183.8   258.6   295.1   317.7   336.5   361.0   398.9   493.0   938.7  2367.4  5105.5  30185.7    30085  1778590020731  1778590030833
read      265.6   123.3   101.3   166.8   180.5   247.9   279.6   298.0   312.8   330.5   355.5   401.9   576.3  1627.8  4213.3  30038.5    30090  1778590032350  1778590042457
read      261.6    99.8   101.3   165.9   179.4   246.2   277.5   296.1   310.8   328.0   351.7   395.9   538.5  1138.1  3019.2  30116.5    30095  1778590043974  1778590054076
read      271.3   121.7   101.3   167.2   181.8   256.0   291.0   311.3   326.0   344.1   369.5   412.9   532.6  1145.1  4505.1  30080.9    30100  1778590055593  1778590065696
read      270.6   110.8   109.4   173.0   187.2   256.0   288.9   308.3   321.9   340.5   365.2   403.6   507.8  1141.2  3859.6  30028.0    30105  1778590067211  1778590077318
read      286.8   107.2   101.3   176.1   192.5   273.2   309.6   330.7   345.7   365.7   391.8   433.8   543.8   933.4  3916.8  30107.0    30110  1778590078833  1778590088937
read      284.8   112.9   109.4   175.6   192.1   272.1   308.0   328.3   343.0   362.1   386.7   427.1   529.6   883.8  4269.3  30075.8    30115  1778590090454  1778590100562
read      288.2   110.6   101.3   179.2   196.3   277.5   312.3   332.2   346.0   364.6   388.0   425.3   512.1   829.3  3909.3  30152.5    30120  1778590102077  1778590112181
read      281.4   127.5   101.3   169.5   186.5   268.4   305.3   325.8   341.3   360.6   385.9   427.6   534.6   866.2  3695.0  30149.3    30125  1778590113697  1778590123800
read      287.8   120.8   101.3   173.9   191.7   276.0   312.1   332.4   346.4   365.5   390.2   430.1   532.8  1096.4  5328.8  30079.6    30130  1778590125316  1778590135420
read      280.0   121.9   101.3   172.3   188.8   268.7   303.0   321.6   336.7   354.0   376.3   416.2   511.9   915.6  4394.2  30155.8    30135  1778590136937  1778590147037
read      280.2   104.9   101.3   173.8   189.7   268.5   303.7   322.7   337.9   355.7   379.0   419.2   518.0   789.9  3767.1  30073.0    30140  1778590148555  1778590158658
read      279.9   111.5   101.3   168.0   185.9   268.6   304.2   323.9   339.1   357.3   380.8   420.9   521.2   857.3  4192.3  30103.4    30145  1778590160175  1778590170282
read      278.4   111.3   109.4   174.3   189.7   267.2   301.7   320.5   335.6   352.5   374.2   411.7   499.3   751.2  4981.1  30168.4    30150  1778590171799  1778590181902
read      278.1   116.0   101.3   167.2   184.9   266.6   302.2   322.1   337.6   355.8   379.3   418.9   511.6   848.9  4114.8  30143.1    30155  1778590183419  1778590193521
read      282.5   104.9   101.3   174.2   190.3   270.6   306.4   326.3   341.2   359.6   383.2   423.2   523.7   926.7  3578.4  30117.5    30160  1778590195036  1778590205140
read      286.5   113.6   101.3   174.7   191.8   274.0   310.4   331.0   345.4   364.5   389.1   429.3   538.8  1014.2  3933.6  30119.5    30165  1778590206657  1778590216764
read      290.2   109.4   101.3   175.0   192.7   277.8   314.2   335.1   350.2   369.7   396.1   438.6   552.7   921.1  3567.8  30240.3    30170  1778590218279  1778590228378
read      282.7   113.5   101.3   174.3   190.4   270.4   305.9   325.7   340.6   358.8   382.5   423.2   525.4  1064.7  4451.1  30235.5    30175  1778590229893  1778590239995
read      290.2   127.8   101.3   175.8   193.5   277.4   313.6   334.3   348.8   367.7   392.3   432.2   541.0  1447.3  4931.1  30168.1    30180  1778590241511  1778590251615
read      288.0   110.3   101.3   176.3   192.9   275.6   312.0   332.9   347.7   367.1   392.6   432.9   535.4   853.3  3952.6  30157.7    30185  1778590253133  1778590263240
read      283.4   110.5   101.3   172.1   189.3   271.4   307.6   327.8   342.6   361.4   385.8   426.6   531.7   828.0  4202.1  30183.9    30190  1778590264755  1778590274855
read      288.7   108.8   101.3   174.3   191.4   276.7   313.8   334.6   349.2   368.4   393.8   435.0   546.5   910.6  4002.2  30149.9    30195  1778590276370  1778590286474
read      298.0   105.1   109.4   179.5   198.2   287.3   323.9   344.6   360.7   378.9   403.4   446.8   550.3   909.0  3823.5  30226.0    30200  1778590287989  1778590298100
read      287.4   125.2   101.3   172.3   190.4   276.1   312.0   332.1   346.1   365.2   389.6   428.9   533.6  1324.0  4363.1  30156.0    30205  1778590299618  1778590309729
read      306.0   127.0   109.4   184.6   203.4   292.7   330.7   352.0   368.2   388.5   415.7   462.4   588.3  1229.7  4886.1  30229.7    30210  1778590311245  1778590321394
read      293.3   120.0   101.3   179.8   197.3   281.1   317.2   337.8   352.8   370.9   396.1   435.7   544.0   994.6  4734.6  30164.7    30215  1778590322910  1778590333013
read      290.9   107.5   101.3   176.7   194.3   280.1   316.2   336.7   351.3   369.7   394.5   433.7   534.8   937.7  4109.8  30123.3    30220  1778590334531  1778590344632
read      283.3   113.1   101.3   170.1   187.5   270.6   307.5   327.9   342.9   362.3   387.9   430.4   543.3   967.6  4393.4  30218.9    30225  1778590346147  1778590356253
read      289.1   118.2   101.3   174.9   192.0   277.1   313.7   334.3   348.8   367.7   392.8   433.3   538.2  1036.7  4523.4  30208.2    30230  1778590357770  1778590367894
read      285.0   120.5   101.3   172.5   189.4   272.4   308.4   328.5   343.2   362.5   388.0   430.8   542.3  1056.9  4305.8  30182.4    30235  1778590369409  1778590379512
read      292.8   127.3   101.3   170.6   188.7   277.8   316.5   338.8   355.6   375.3   403.6   454.9   596.0  1181.8  4333.2  30363.4    30240  1778590381028  1778590391130
read      277.6   120.9    93.8   166.0   182.7   264.7   300.8   320.8   336.8   355.5   380.5   424.3   529.5   900.1  4454.4  30351.3    30245  1778590392646  1778590402748
read      290.9   113.2   101.3   175.1   192.4   279.1   316.2   337.1   352.2   371.0   397.0   438.6   546.9   912.5  4488.6  30184.2    30250  1778590404265  1778590414371
read      289.9   121.5   101.3   175.5   192.3   277.1   314.1   335.0   349.8   369.0   394.7   435.7   546.0  1144.7  4731.7  30395.0    30255  1778590415886  1778590425994
read      289.9   113.3   101.3   176.9   194.4   278.0   314.1   334.6   349.0   368.0   392.9   433.0   539.5   966.3  4334.7  30266.4    30260  1778590427514  1778590437631
read      292.0   107.7   101.3   176.9   194.2   279.7   316.6   337.8   353.5   372.1   398.3   441.7   554.7   873.8  3449.1  30287.7    30265  1778590439146  1778590449266
read      284.2   106.6   101.3   173.0   189.6   271.9   308.3   328.7   343.5   362.8   387.9   429.4   534.9   917.0  3460.4  30344.8    30270  1778590450783  1778590460884
read      287.8   105.6   101.3   173.6   191.5   277.4   314.4   335.2   349.7   368.0   391.8   429.5   524.4   789.1  3885.6  30316.5    30275  1778590462401  1778590472502
read      289.8   104.0   101.3   176.2   193.2   278.4   315.1   336.0   350.8   369.3   394.6   434.9   540.9   822.6  3875.3  30255.1    30280  1778590474017  1778590484131
read      291.3   125.8   101.3   175.6   193.6   280.0   315.7   336.2   350.8   369.2   394.3   433.6   538.5  1272.3  4444.1  30336.0    30285  1778590485646  1778590495754
